(eemale, ära) ajama	гнать
bakenbardid	бакенбарды
baklažaan	баклажан
bakter	бактерия
ballett	балет
banaan	банан
bandiit	бандит
Bangkok	Бангкок
Bangladesh	Бангладеш
baptism	Баптизм
baptist	баптист
barbar	варвары
Barcelona	Барселона
Barentsi meri Kara meri	Баренцево море Карское море
barett	берет
baromeeter	барометр
basiilik	базилик
bassein	бассейн
bassein	бассейн (реки)
basset	бассет
beez	беж
beež	бежевый
Beirut	Бейрут
belgia	бельгийский
Belgia	Бельгия
belglane	бельгиец
belglanna	бельгийка
bensiini	бензиновый
bensiiniauto	бензовоз
bensiinipaak	бензобак
Berliin	Берлин
bernhardiin	сенбернар
betoon	бетон
biifsteek	бифштекс
biitseps	бицепс
bilanss	баланс
binokkel	бинокль
bioloogia	биология
blondiin	блондин
blondiin	блондинка
bluus	блюз
boamadu	удав
bobisõit	бобслей
bodybilding	бодибилдинг
bokser	боксёр
Boliivia	Боливия
Bombay	Бомбей
Bonn	Бонн
Bordeaux	Бордо
börs	биржа
boss	босс
Brasiilia	Бразилия
brasiilia	бразильский
brasiillane	бразилец
brasiillanna	бразильянка
Bratislava	Братислава
brauser	браузер
brigaad	бригада
brigadir	бригадир
brigantiin	бригантина
briljant	бриллиант
brokkoli	капуста брокколи
bronhiit	бронхит
brošüür	брошюра
brünett	брюнет
brünett	брюнетка
Brüssel	Брюссель
brüsseli kapsas	брюссельская капуста
Budapest	Будапешт
budism	Буддизм
budist	буддист
Bukarest	Бухарест
buklett	буклет
buldog	бульдог
buldooser	бульдозер
Bulgaaria	Болгария
bulgaaria	болгарский
bulgaarlane	болгарин
bulgaarlanna	болгарка
bülletään	бюллетень
bürokraat	бюрократ
buss	автобус
Bütsants	Византия
bütsantsi	византийский
bütsantslased	византийцы
CD-mängija	CD-проигрыватель
CD-plaat	CD, компакт-диск
CD-plaat	компакт-диск
Chicago	Чикаго
daam	дама
daamide	дамский
Dalmaatsia koer	далматинец
Dar Es Salaam	Дар-эс-Салам
dattel	финик
deemon	демон
deklaratsioon	таможенная декларация
deklaratsiooni täitma	заполнить декларацию
dekoratsioonid	декорация
delegatsioon	делегация
delfiin	дельфин
delfinaarium	дельфинарий
Delhi	Дели
demokraat	демократ
demokraatia	демократия
demokraatlik	демократический
demokraatlik erakond	демократическая партия
demonstrant	демонстрант
demonstratsioon	демонстрация
demonstreerima	демонстрировать
depressioon	депрессия
deserteerima	дезертировать
desertöör	дезертир
dessantväelane	десантник
detail	деталь
detektiiv	детектив, сыщик
detektiiv	сыщик
detsember	декабрь
devalvatsioon	девальвация
diabeet	диабет
diagnoos	диагноз
dialoog	диалог
diameeter	диаметр
dieet	диета
diisel	дизельный
diivan	диван
diivanilaud	журнальный столик
diktaator	диктатор
diktor	диктор
dilemma	дилемма
diplom	диплом
diplomaat	дипломат
direktor	директор
dirigent	дирижёр
disain	дизайн
disainer	дизайнер
disko	дискотека
diskussioon	дискуссия
diskvalifitseerima	дисквалифицировать
dispetšer	диспетчер
divisjon	дивизия
dobermann	доберман
dogma	догма
doktriin	доктрина
dokumendid	документация
dokument	документ
dollar	доллар
Dominikaani Vabariik	Доминиканская республика
Don	Дон
Doonau	Дунай
doping	допинг
draakon	дракон
draama	драма
dress	спортивный костюм
dresseerija	дрессировщик
dresseerima	дрессировать
dresseerimine	дрессировка
Dubai	Дубай
Dublin	Дублин
duett	дуэт
dünastia	династия
duši all käima	принимать душ
dušiga	с душем
dušš	душ
Düsseldorf	Дюссельдорф
düüs	сопло
DVD	DVD-диск
DVD-mängija	проигрыватель DVD
džäss	джаз
džemm	джем, конфитюр
džungel	джунгли
džuudomaadleja	дзюдоист
eakas	немолодой
eakas	пожилой
eales	никогда
ebaharilik	необыкновенный
ebajumal	идол
ebajumal	кумир
ebameeldiv	неприятный
ebameeldivus	неприятность
ebamugavus	дискомфорт
ebaõiglane	несправедливый
ebaõiglus	несправедливость
ebaõnn	неудача (невезение)
ebaõnnestumine	невезение
ebaõnnestunud	неудачный (попытка)
ebaseaduslik	незаконный
ebausk	суеверие
ebausklik	суеверный
Ecuador	Эквадор
edasi	вперёд
edasi	вперёд (движение)
edasi lükkama	перенести (о сроке)
edu	успех
edukalt	успешно
edukas	успешный
eelajalooline	доисторический
eelarve	бюджет
eeldama	предполагать
eeldus	предположение
eelistama	предпочитать
eelmine kord	в прошлый раз
eemaldama	удалить
eemaldama	удалять (пятно и т.п.)
eemaldatud	удалённый (о файле)
ees	впереди
ees	перед (в пространстве)
eesel	ишак
eesel	осёл
eeskujulik	отличный (хороший)
eesliide	приставка
eesmärk	цель
eesmine	передний
eesnimi	ИМЯ
eesriie	занавес
eessõna	предлог
eest	спереди
eest ära tulema	оторваться (о пуговице)
eestkostja	опекун
eesveoga	переднеприводный
Eeva	Ева
efekt	эффект
Egeuse meri Aadria meri	Эгейское море Адриатическое море
egiptlane	египтянин
egiptlanna	египтянка
Egiptus	Египет
egiptuse	египетский
egoist	эгоист
egoistlik	эгоистичный
ehitaja	строитель
ehitama	строить
ehitus	стройка (место)
ehmatama	пугать
ehmuma	пугаться
ehtima	украшать
ehtima	украшать (дом и т.п.)
ei	не
ei	нет
ei kellegi oma	ничей
ei tohi	нельзя (запрещено)
eile	вчера
eile õhtul	накануне
eitama	отрицать
ekraan	экран
eksam	экзамен
eksamit sooritama	сдавать экзамены
eksemplar	экземпляр (документа)
eksima	ошибаться
ekskavaator	экскаватор
ekskursioon	экскурсия
ekskursioonijuht	экскурсовод
eksootika	экзотика
eksootiline	экзотический
ekspeditsioon	экспедиция
ekspluateerima	эксплуатировать
ekspluateerimine	эксплуатация
ekvaator	экватор
elajas	зверь
elama	жить (проживать)
elama	жить (существовать)
elamukvartal	жилой квартал
elanikkond	население
elanikud	жильцы
elavhõbe	ртуть
Elbrus	Эльбрус
elegantne	элегантный
elekter	свет (электричество)
elekter	электричество
elektri-	электрический
elektrienergia	электроэнергия
elektrijaam	электростанция
elektrik	электрик
elektripirn	лампочка
elektripirn	лампочка (индикатор)
elektripliit	плита электрическая
elektrirai	электрический скат
elektririist	электроприбор
elektritool	электрический стул
element	элемент
elevandipoeg	слонёнок
elevant	слон
ellu jääma	выжить
elu	ЖИЗНЬ
eluaegne vanglakaristus	пожизненное заключение
elukeskkond	среда обитания
elukindlustus	страхование жизни
elukoht	место жительства
elukutse	профессия
elulookirjeldus	резюме
elulugu	автобиография
ema	мама
ema	мать
emasloom	самка
emigrant	эмигрант
emigratsioon	эмиграция
emigreerima	эмигрировать
end ära põletama	обжечься
end torkama	уколоться
endale sisse lõikama	порезаться
energia	энергия
ennast	себя
ennast ära peitma	прятаться
ennast kaitsma	защищаться
ennast kaitsma	обороняться
ennast pesema	мыться
ennast ravima	лечиться
enne	перед (во времени)
ennistama	реставрировать
ennistamine	реставрация
ennustaja	гадалка
ennustama	гадать (о гадалке)
entsüklopeedia	энциклопедия
entusiasm	энтузиазм
entusiasmi üles näitama	проявить энтузиазм
entusiast	энтузиаст
epideemia	эпидемия
epilepsia	эпилепсия
episood	эпизод
epitsenter	эпицентр
era-	частный (личный)
erakond	партия
eraldi	отдельно
erand	исключение
eraomand	частная собственность
eravaldus	частные владения
erinev	различный (разный)
erinevus	различие
eriti	особенно
ese	объект (предмет)
esik	передняя
esik	прихожая
esile kerkima	возвышаться
esimees	председатель
esimene	первый
esimene koht	первое место
esimest korda	впервые
esindusrõdu	бельэтаж
esitama	предъявлять
esiteks	во-первых
esmaspäev	понедельник
et	что (союз)
etapp	этап (работы и т.п.)
etendus	представление
etendus	спектакль
ette heitma	упрекать
ette käima	спешить (о часах)
ette kandma	докладывать
ette nägema	предвидеть (ожидать)
ette ütlema	подсказать (отгадку)
ette valmistama	подготовить
ettekääne	отговорка
ettekandja	официантка
ettekuulutus	пророчество
etteotsa asuma	возглавлять
etteütlemine	подсказка (ключ к отгадке)
etteütlus	диктант
ettevaatlik	осторожный
Ettevaatust!	Осторожно!
ettevõte	предприятие
ettur	пешка
eukalüpt	эвкалипт
euro	евро
Euroopa	Европа
euroopa	европейский
Euroopa Liit	Европейский Союз
euroopa piison	зубр
eurooplane	европеец
evakuatsioon	эвакуация
evakueerima	эвакуировать
Evangeelium	Евангелие
Everest	Эверест
evolutsioon	эволюция
faasan	фазан
fail	файл
faks	факс
faksi saama	получать факс
faksi saatma	отправлять факс
fänn, poolehoidja	фан, болельщик
farm	ферма
fašism	фашизм
fašist	фашист
fassaad	фасад
feodaal	феодал
feodaalne	феодальный
filmi näitama	показывать фильм
filmi võtma	снимать фильм
filmilaenutus	прокат фильмов
filmitäht	кинозвезда
filmivõtted	съёмки
filosoof	философ
filosoofia	философия
filter	фильтр
filtreerima	фильтровать
finaal	финал (спорт.)
finaal-	финальный
finiš	финиш
Firenze	Флоренция
firma	фирма
firmamärk	фирменный знак
flamingo	фламинго
flööt	флейта
foneetika	фонетика
fookus	фокус
foon	фон
foorum	форум
forell	форель
foto	фото, фотография
fotoaparaat	фотоаппарат
fotoateljee	фотоателье
fotograaf	фотограф
fotokaamera	цифровой фотоаппарат
fotokorrespondent	фотокорреспондент
fragment	фрагмент
frakk	фрак
frank	франк
Frankfurt	Франкфурт
fresko	фреска
funktsioneerima	функционировать
furgoon	фургон
füüsik	физик
füüsika	физика
Gaana	Гана
gaas	газ
gaasijuhe	газопровод
gaasimask	противогаз
gaasipedaal	педаль газа
gaasipliit	плита газовая
gabariittuled	габаритные огни
galaktika	галактика
galerii	арт-галерея
gallid	галлы
galopp	галоп
galoppi sõitma	скакать галопом
Ganges	Ганг
gangreen	гангрена
gangster	гангстер
garaaž	автосервис
garaaž	гараж
gastriit	гастрит
gastroleerima	гастролировать
geen	ген
geiser	гейзер
generaator	генератор
Genf	Женева
geograafia	география
geoloog	геолог
geoloogia	геология
geomeetria	геометрия
gepard	гепард
geraanium	герань
gibon	гиббон
giid	гид (экскурсовод)
gladiool	гладиолус
glaukoom	глаукома
gloobus	глобус
golf	гольф
golfikepp	клюшка
golfiklubi	гольф-клуб
golfimängija	игрок в гольф
gong	ГОНГ
goodid	готы
gooti	готический
gorilla	горилла
graafika	графика
gramm	грамм
grammatika	грамматика
granaat	ручная граната
granaatõun	гранат
graniit	гранит
gravüür	гравюра
greip	грейпфрут
gripp	грипп
grupp	группа
grusiinlanna	грузинка
gruusia	грузинский
Haag	Гаага
hääl	голос
hääldama	произносить (слово)
hääldama	произносить(слово)
hääldamine	произношение
hääleõigus	право голоса
häälestused	настройки
hääletama	голосовать
hääletamine	голосование
haamer	молот
haamer	молоток
haarama	хватать (за руку и т.п.)
haarang	облава
haav	осина
haav	рана
haavama	ранить
haavand	язва (внутренняя)
haavapuravik	ПОДОСИНОВИК
haavata saama	получить ранение
haavatu	раненый (сущ.)
haavlid	дробь
habe	борода
habemeajamiskreem	пена для бритья
habet ajama	бриться
häbi	позор
häbi	стыд
habras	хрупкий
haige	больной
haige olema	болеть (быть больным)
haigeks jääma	заболеть
haiget saama	ушибиться
haiget saanud koht	ушиб
haiget tegema	причинять боль
haigla	больница
haigur	цапля
haigus	болезнь
haigushoog	приступ, припадок
haigutama	зевать
Haiiti	Гаити
haikala	акула
häire	тревога (сигнал)
häired	помехи
haisema	пахнуть
hajameelne	рассеянный
hajameelne skleroos	рассеянный склероз
hakk	галка
häkker	хакер
hakkliha	фарш
hakklihamasin	мясорубка
halb	плохой
halb hinne	плохая отметка
halb ilm	непогода
hall	седой (о волосах)
hall	серый
hall	холл
hall	холл (в театре)
halvama	парализовать
halvasti	ПЛОХО
halvatus	паралич
hambaarst	дантист
hambaid pesema	чистить зубы
hambaork	зубочистка
hambapasta	зубная паста
hambavalu	зубная боль
Hamburg	Гамбург
hamburger	гамбургер
hammas	зуб
hammast välja tõmbama	удалять (зуб)
hammustama	кусать (о собаке и т.п.)
hammustama	раскусить
hamster	хомяк
hang	сугроб
hani	гусь
Hanoi	Ханой
hantlid	гантели
hapnik	кислород
hapnikumask	кислородная маска
hapu	кислый
hapukoor	сметана
hapuoblikas	щавель
harakas	сорока
harf	арфа
härg	вол
hari	швабра
harilik	обычный
harjumus	привычка
harjutus	упражнение
härmatis	иней
harpuun	гарпун
haruldane	редкий
harva	редко
Hästi!	Хорошо! (согласен)
hauakivi	надгробие
hauatagune elu	загробная жизнь
haud	могила
haug	щука
haukuma	лаять
haukumine	лай
Havanna	Гавана
häving	разруха
hävitama	уничтожать (~ улики)
hävituslennuk	истребитель
hea	добрый
hea	хороший
hea hinne	хорошая отметка
Hea küll!	Ладно! (согласен)
Head isu!	Приятного аппетита!
headus	добро
heaks kiitma	одобрить
heakskiitmine	одобрение
healoomuline	доброкачественная
heeringas	сельдь
hein	сено
heitgaasitoru	выхлопная труба
hekk	изгородь
hektar	гектар
helde	щедрый
heldus	щедрость
hele	светлый
hele	светлый (о цвете)
helendama	светиться (блестеть)
helesinine	голубой
heli	звук
helikopter	вертолёт
helilooja	композитор
heliplaat	пластинка (муз.)
heliriba	звуковая дорожка
helisignaal	звуковой сигнал
helistama	звонить
helistama	позвонить
hell	нежный (о человеке)
helmed	бусы
Helsingi	Хельсинки
hepatiit	гепатит
heraldika	геральдика
heraldiline	геральдический
herilane	оса
hernes	горох
hertsog	герцог
hetk	МИГ
higi	пот
higistama	потеть
hiiglane	великан
hiilima	красться
Hiina	Китай
hiina	китайский
hiinlane	китаец
hiinlanna	китаянка
hiir	мышь
hiirepoeg	мышонок
hiirevaip	коврик для мыши
hilinema	задерживаться (о рейсе)
hilinema	опаздывать
hilja	поздно
hilja	поздно (~ встать)
hiljaks jääma	опоздать (на автобус)
hiljem	позже
hiljuti	недавно
Himaalaja	Гималаи
hind	цена
hindu	индиец
hinduism	Индуизм
hinduist	индуист
hindulanna	индианка
hing	душа
hing	дыхание
hingama	дышать
hingamine	дыхание
hinnakujundamine	ценообразование
hinnaline	ценный
hinnalipik	ценник (на одежде)
hinnapoliitika	ценовая политика
hinne	отметка
hinnet panema	ставить отметку
hipodroom	ипподром
hirm	страх
hirmus	страшный
hirmus	страшный (мороз и т.п.)
hirnuma	ржать
Hiroshima	Хиросима
hirss	просо
Hispaania	Испания
hispaania	испанский
hispaanlane	испанец
hispaanlanna	испанка
hõbe	серебро
hõbedane	серебристый
hõbedane	серебряный
hobi	хобби
hobujõud	лошадиная сила
hobune	конь
hobune	лошадь
hobune	лошадь, конь
hobusekari	табун
hobuseraud	подкова
hobusesaba	хвост (причёска)
hobusetall	конюшня
hobust rautama	подковать
hoiatama	предостеречь
hoiatama	предупреждать
hoiatus	п ред остережен ие
hoiatus	предупреждение
hoidma	держать
hõimud	племена
hõivatud	занятой (о человеке)
hoki	хоккей
hokikepp	клюшка
hokimängija	хоккеист
Holland	Голландия
hollandi	голландский
hollandlane	голландец
hollandlanna	голландка
homaar	омар
homme	завтра
homme hommikul	завтра утром
homme õhtul	завтра вечером
homme pärast lõunat	завтра после обеда
hommik	утро
hommikul	утром
hommikul vara	рано утром
hommikumantel	халат (махровый)
hommikumantel	халат(махровый)
hommikusöök	завтрак
hommikust sööma	завтракать
homoseksualist	гомосексуалист
Hongkong	Гонконг
hooaeg	сезон
hõõguv	раскалённый
hooletu	небрeжный
hooletu	небрежный
hoolitsema	ухаживать (за больным)
hoolitsema	ухаживать (за садом)
hoolitsev	заботливый
hoolitsus	забота (о человеке)
hoolitsus	уход (за больным)
hoone	здание
hoor	шлюха
hoorapoeg	сукин сын
höövel	рубанок
hööveldama	строгать
hoovi hm	ливень
hoovus	течение
horisontaalne	горизонтальный
horoskoop	гороскоп
hospital	госпиталь
hotell	гостиница
hüään	гиена
Huang He	Хуанхэ
hüatsint	гиацинт
hukkama	казнить
hukkamine	казнь
hukkuma	погибнуть
hulgi	ОПТОМ
hulgi-	оптовый
hulgimüük	продажа оптом
huligaan	хулиган
hüljes	тюлень
hulk	количество
hull	сумасшедший
hulluks minema	сойти с ума
hullumeelne	сумасшедший (прил.)
hundikari	стая (волков)
hundikutsikas	волчонок
hunt	волк
hüpnoos	ГИПНОЗ
hüpnotiseerima	гипнотизировать
hüpotees	гипотеза
hüppaja	прыгун
hüppama	прыгать
hüüdnimi	прозвище
hüüdsõna	междометие
huuled	губы
huumor	юмор
huumorimeel	чувство (юмора)
hüüumärk	восклицательный знак
hüvasti jätma	прощаться
huvi tundma	интересоваться
huvirühm	целевая аудитория
huvitav	интересный
I ill	цветок
ida	восток
ida-	восточный
idas	на востоке
ideaal	идеал
idioot	идиот
idu	росток
iga	каждый
iga aastane	ежегодный
iga kuu	каждый месяц
iga päev	ежедневно
iga viieteist minuti tagant	каждые 15 минут
iga-aastane	ежегодный
igakuine	ежемесячный
igal aastal	ежегодно
igal aastal	каждый год
igal nädalal	еженедельно
igal pool	везде
igal teisipäeval	каждый вторник
iganädalane	еженедельный
igapäevane	ежедневный
igas kuus	ежемесячно
igatsema	тосковать
igav	скучный
igavik	вечность
igavlema	скучать
ige	десна
igihaljas	вечнозеленое
iguaan	игуана
iha	влечение
ihukaitsja	телохранитель
iial, iialgi, eales	никогда
iidne	древний
iidol	идол
iiri	ирландский
Iirimaa	Ирландия
iirlane	ирландец
iirlanna	ирландка
Iisrael	Израиль
iisraeli	израильский
iisraellane	израильтянин
iisraellanna	израильтянка
ikoon	икона
illuminaator	иллюминатор
illustratsioon	иллюстрация
ilm	погода
ilma	без (~ сахара и т.п.)
ilma aktsendita	без акцента
ilma jätma	лишать
ilmaennustus	прогноз погоды
ilmuma	выйти (о книге)
ilmumine	выход (книги)
ilukirjandus	беллетристика
ilus	красивая
ilus	красивый
iluuisutaja	фигурист
iluuisutaja	фигуристка
iluuisutamine	фигурное катание
ilves	рысь
imago	имидж
ime	чудо
imeilus	прекрасный (красивый)
imema	сосать
imestama	удивляться
imestus	удивление
imik	младенец
immuniteet	иммунитет
impeerium	империя
imperaator	император
impressaario	импресарио
impressionism	импрессионизм
indeks	индекс
india	индийский
India	Индия
India ookean	Индийский океан
indiaanlane	индеец
indikaator	индикатор
Indoneesia	Индонезия
infarkt	инфаркт
inflatsioon	инфляция
ingel	ангел
ingellik	ангельский
inglane	англичанин
inglanna	англичанка
inglise	английский
Inglismaa	Англия
ingver	имбирь
ingver	инжир
inimene	человек
inimesed	люди
inimkond	человечество
inimrööv	похищение (людей)
inimsooja	людоед
inkvisiitor	инквизитор
inkvisitsioon	инквизиция
innustama	воодушевлять
insener	инженер
inspektor	инспектор
instituut	институт
instruktsioon	инструкция по безопасности
insult	инсульт
